Release Name,DiyActivePedal.dll,MSFS_SIMHUB_PLUGN_BY_asxasdfghjkl.7z,esp32_0.zip,esp32_analogout_SC_D15.zip,esp32_bridge.zip,esp32_speedcrafter.zip,esp32s3-gilphilbert.zip,esp32s3.zip,esp32s3_Bridge_Fanatec.zip,esp32s3_Bridge_With_Joy.zip,esp32s3_espmaster.zip,esp32s3_joystickreceiver.zip
Develop_Package_v20240809.224526,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.224526/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.224526/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.224526/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.224526/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.224526/esp32s3_espmaster.zip,
Develop_Package_v20240809.202101,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.202101/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.202101/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.202101/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.202101/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.202101/esp32s3_espmaster.zip,
Develop_Package_v20240809.190656,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190656/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190656/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190656/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190656/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190656/esp32s3_espmaster.zip,
Develop_Package_v20240809.190100,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190100/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190100/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190100/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190100/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.190100/esp32s3_espmaster.zip,
Develop_Package_v20240809.184811,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.184811/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.184811/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.184811/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.184811/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.184811/esp32s3_espmaster.zip,
Develop_Package_v20240809.084123,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.084123/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.084123/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.084123/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.084123/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240809.084123/esp32s3_espmaster.zip,
Develop_Package_v20240808.223820,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.223820/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.223820/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.223820/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.223820/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.223820/esp32s3_espmaster.zip,
Develop_Package_v20240808.071611,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.071611/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.071611/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.071611/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.071611/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.071611/esp32s3_espmaster.zip,
Develop_Package_v20240808.041055,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.041055/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.041055/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.041055/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.041055/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240808.041055/esp32s3_espmaster.zip,
Develop_Package_v20240807.221244,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240807.221244/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240807.221244/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240807.221244/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240807.221244/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240807.221244/esp32s3_espmaster.zip,
